6539,12,4
604,3343,7
105,12228,3
424,102,52
3495,106,6
125,4903,3
3958,13389,3
727,243,4
4233,613,15
400,1075,4
10858,735,4
165,269,33
128,1481,5
436,1028,3
151,678,9
195,458,12
328,4587,4
1231,705,7
11232,12,3
107,5959,4
1534,243,7
109,2055,10
2391,243,5
2489,370,5
719,4212,7
259,296,5
104,3159,7
110,604,22
14457,106,3
14,1688,45
166,1702,3
153,373,10
127,1001,7
219,275,8
2573,5000,5
1924,128,6
412,765,8
6641,130,4
808,1789,3
1201,553,3
5547,120,3
173,588,7
8221,102,4
5160,106,10
186,1545,3
7997,12,6
404,578,3
4405,104,5
114,115,316
3490,1157,3
859,218,6
609,122,11
981,1757,3
105,895,18
4756,12,11
5826,117,10
261,3069,3
2967,470,3
537,440,4
103,4050,9
174,624,5
559,15498,3
3082,10866,4
110,11292,3
200,269,28
13542,111,3
997,470,20
16,996,7
190,413,6
107,3014,11
1935,282,3
159,1255,8
106,8671,3
2831,420,5
247,1225,8
12,117,513
1152,12,42
250,488,14
702,774,6
165,1614,5
106,14685,3
132,4790,5
949,130,15
5364,943,3
692,159,11
1118,565,3
6510,12,8
567,106,23
185,1752,3
2078,14708,3
976,108,82
387,113,29
119,4489,14
6137,111,3
1907,108,37
7130,112,3
4100,894,3
108,9877,3
105,2383,8
1385,131,11
101,790,35
233,116,30
498,850,3
2321,21,11
540,190,6
149,58,647
130,3516,8
7158,201,4
205,21,66
6475,57,3
1133,21,10
275,780,3
209,4775,3
388,1009,4
5591,6607,8
101,715,44
222,1242,3
517,14461,3
130,3592,3
1263,722,6
474,427,5
244,15090,3
813,244,3
359,1628,3
193,1018,10
137,1032,10
12176,6888,4
14094,21,3
1032,460,3
526,683,6
470,2967,3
491,1388,3
133,2577,6
8998,101,6
149,228,16
108,4120,6
1769,4508,14
125,7265,3
107,147,133
5739,21,9
119,792,17
110,14563,3
2799,138,3
125,1201,7
427,602,9
12,5157,9
485,924,3
6392,103,7
736,514,5
181,1958,4
21,4726,4
2302,164,3
690,190,7
119,843,10
158,197,39
427,526,3
515,761,3
389,143,9
771,1170,6
980,412,9
1942,2031,3
1402,311,3
115,4303,5
3115,285,3
8867,125,3
130,9423,3
1258,343,3
571,362,5
2835,6357,9
1285,2038,3
125,1253,18
251,1423,4
332,14510,3
4010,478,3
154,196,18
904,107,40
125,3444,4
250,947,4
101,8836,5
1949,107,20
12,797,26
10524,690,5
225,1158,3
511,501,3
116,1122,9
1653,176,3
155,4139,3
115,533,15
4693,101,8
1697,127,8
174,118,72
1529,178,4
7931,101,7
5293,1214,5
405,245,14
102,2219,15
250,1049,6
225,1294,5
121,300,42
2500,425,3
2346,249,3
1172,399,10
2274,2570,5
107,2556,8
548,1253,3
423,702,5
115,6600,4
151,1444,5
1135,8,4
2325,101,32
5166,2499,3
4826,125,4
3395,57,4
4533,582,3
1333,107,15
345,1199,3
482,804,7
3746,114,5
3175,107,7
110,101,1594
4359,105,5
749,2362,4
277,162,15
2325,171,3
189,208,12
494,524,10
133,190,25
5114,129,4
356,134,18
114,799,11
2600,3393,14
110,171,121
130,1357,6
510,729,4
303,1449,4
104,3880,6
107,8381,4
